parsing (s),parsing,approach(s),approach,total (s),total,project,,,,,
157.902,157902,380.522,380522,538.424,538424,Activiti,,,parsing,approach,total
434.312,434312,962.155,962155,1396.467,1396467,activemq,,,158,381,538
645.133,645133,687.077,687077,1332.21,1332210,airavata,,,434,962,"1,396"
154.21,154210,291.251,291251,445.461,445461,alluxio,,,645,687,"1,332"
23.423,23423,81.483,81483,104.906,104906,atmosphere,,,154,291,445
20635.319,20635319,6845.563,6845563,27480.882,27480882,aws-sdk-java,,,23,81,105
165.089,165089,206.75,206750,371.839,371839,beam,,,"20,635","6,846","27,481"
4070.877,4070877,1918.236,1918236,5989.113,5989113,camel,,,165,207,372
15.704,15704,37.253,37253,52.957,52957,elastic-job,,,"4,071","1,918","5,989"
35.768,35768,78.599,78599,114.367,114367,flume,,,16,37,53
1378.774,1378774,1657.044,1657044,3035.818,3035818,hadoop,,,36,79,114
523.911,523911,1067.621,1067621,1591.532,1591532,hazelcast,,,"1,379","1,657","3,036"
1393.622,1393622,923.914,923914,2317.536,2317536,hbase,,,524,"1,068","1,592"
227.891,227891,422.597,422597,650.488,650488,jetty.project,,,"1,394",924,"2,318"
90.048,90048,328.018,328018,418.066,418066,kafka,,,228,423,650
55.972,55972,193.107,193107,249.079,249079,lens,,,90,328,418
3.445,3445,10.439,10439,13.884,13884,nanohttpd,,,56,193,249
588.506,588506,981.389,981389,1569.895,1569895,neo4j,,,3,10,14
750.623,750623,761.555,761555,1512.178,1512178,sling,,,589,981,"1,570"
23.777,23777,91.43,91430,115.207,115207,twitter4j,,,751,762,"1,512"
,,,,,,,,,24,91,115
,,,,,,,,SUM,"31,374","17,926","49,300"
,,,,,,,,,63.64%,36.36%,
